Name,comps
c1,0
c2,1
c3,2
c4,3
c5,4
c6,5
c7,7
c8,8
c9,9
c10,10
c11,11
c12,12
c13,13
c14,14
c15,15
c16,16
c17,17
c18,18
c19,19
c20,20
c21,21
c22,22
c23,23
c24,24
c25,25
c26,26
c27,27
c28,28
c29,20
c30,30
c31,31
c32,32
c33,33
c34,34
c35,35
c36,36
c37,37
c38,38
c39,39
c40,40
c41,41
c42,42
c43,43
c44,44
c45,45
c46,46
c47,47
c48,48
c49,49
c50,50
c51,51
c52,52
c53,53
c54,54
c55,55
c56,56
c57,57
c58,58
c59,59
c60,60
c61,61
c62,62
c63,63
c64,64
c65,65
c66,66
c67,67
c68,68
c69,69
c70,70
c71,71
c72,72
c73,73
c74,74
c75,75
