Name,comps
c1,0
c2,1
c3,2
c4,3
c5,4
c6,5
c7,6
c8,7
c9,8
c10,9
c11,10
c12,11
c13,12
c14,13
c15,14
c16,15
c17,16
c18,17
c19,18
c20,19
c21,20
c22,21
c23,22
c24,23
c25,24
c26,25
c27,26
c28,27
c29,28
c30,29
c31,30
c32,31
c33,32
c34,33
c35,34
c36,35
c37,36
c38,37
c39,38
c40,39
c41,40
c42,41
c43,42
c44,43
c45,44
c46,45
c47,46
c48,47
c49,48
c50,49
c51,50
c52,51
c53,52
c54,53
c55,54
c56,55
c57,56
c58,57
c59,58
c60,59
c61,60
c62,61
c63,62
c64,63
c65,64
c66,65
c67,66
c68,67
c69,68
c70,69
c71,70
c72,71
c73,72
c74,73
c75,74
