Name,comps
c1,0
c2,1
c3,2
c4,3
c5,4
c6,5
c7,6
c8,7
c9,8
c10,9
c11,11
c12,12
c13,13
c14,14
c15,15
c16,16
c17,17
c18,18
c19,19
c20,20
c21,21
c22,22
c23,23
c24,24
c25,25
c26,26
c27,27
c28,28
c29,29
c30,30
c31,31
c32,32
c33,33
c34,35
c35,36
c36,37
c37,38
c38,39
c39,40
c40,41
c41,42
c42,43
c43,44
c44,45
c45,46
c46,47
c47,48
c48,49
c49,50
c50,51
c51,52
c52,53
c53,54
c54,55
c55,56
c56,57
c57,58
c58,59
c59,60
c60,61
c61,62
c62,63
c63,64
c64,65
c65,66
c66,67
c67,68
c68,69
c69,70
c70,71
c71,72
c72,73
c73,74
c74,75
c75,76
